producto;pvp_mayor;costo_unitario;perdida_por_unidad;todas_las_presentaciones
CREMA DENTAL COLGATE PERIOGARD 90GR;22800;26463;3663;CAJA:$22,800
UNGUENTO MENTO N° 2 NUMERO  2 X 50 G;26000;29324;3324;CAJA:$26,000
HIDROXIDO ALUMINIO SIMETICONA 150 ML MK;10800;12830;2030;TARRO:$10,800
PYRALVEX FRASCO X 10 ML;23800;25641;1841;FRASCO:$23,800
REPELENTE STAY OFF BEBE LOCION;21000;22261;1261;FRASCO:$21,000
BIANCHI  BARRA     SABORES SURT CAJA X 12 UND;1600;2008;408;CAJA:$16,900, UNIDAD:$1,600
IGORA VITAL D. TUBO 3-0 CASTAÑO OSCURO;32300;32452;152;UNIDAD:$32,300
LECHE DE MAGNESIA MAG HIDROXIDO 8.5/100 G/ML;26400;26499;99;CAJA:$26,400
